Questions,Answers
"Mr. Barford and Mr. Manga, when both of you were younger and had much less capital for investing, how many, which publications were there for us to get the few excellent investment ideas to be so successful? And how many hours per week on average did you spend with reading about companies? ","Well, one way we're younger, we spent, probably surely compared to now spent a lot more time. I spend a fair amount more time looking at companies. But if we were doing it over again, we would do it over again pretty much the same way. We would look at everything inside that we thought we could understand. And the world hasn't changed in that respect. There may be some more people doing it, but there are a lot more companies to look at now. And we would read everything inside about the businesses and the industries we thought we could understand. We would look for things that jumped out at us as being very cheap in relation to value. And we would have one enormous advantage because we would be working with far less capital, which means the universal potential ideas would be far greater. But there's nothing different in my view about analyzing securities now than it was 50 years ago. Charlie? Yeah, we read a lot and we thought a lot. I don't know anybody who is wise who doesn't read a lot. And on the other hand, that alone won't do it. You have to have a temperament, really, which grabs the correct ideas and does something with those ideas. And I think most people who read a lot don't have the necessary temperament. And they grab the ideas, or they're simply confused by the massive material. And of course that won't work. There's probably something, Phil Kray used to talk about having a money mind. And I would call it a business mind. There are people that are better with identical IQs that are better adapted for one than the other. And the temperament is all important. I mean, if you can't control yourself no matter what the intellect you bring to the process, you're going to have disasters. And Charlie and I have seen one after another. It's not a business that requires extraordinary intellect. It does require extraordinary discipline. And that shouldn't be so difficult, but as I look around the world sometimes, it apparently is quite difficult. I mean, the whole world, one little mad a few years back in terms of investments. And say to yourself, how could that happen? Don't they learn anything from the earlier ones? But what we learn from history is that people don't learn from history. And you certainly see that in financial markets all the time. And so, you mentioned books. Charlie, you didn't recommend any books this year? Well, one book I really like. I couldn't buy because it's published only in England. But it'll get here and do course. And that's called Deep Simplicity by John Grieben. It's a perfectly marvelous book. And of course, that's a great title, Deep Simplicity. That's what we're all looking for. I've been reading a short history of nearly everything. And it's very impressive, too. You know, to read about people pondering how to figure out the weight of the earth or something in the 18th century. And you would think minds that could do that would do very well in financial matters. But, you know, if you remember, Isaac Newton spent a significant part of his life trying to turn lead into gold. And he might have made a good stock program. But it didn't do much for him financially. Charlie knows more about Isaac than I do. And he lost an enormous chunk of his net worth in the South Sea bubble. So he invested in an absolute crooked mania. And here was the smartest man in the world. So just IQ points alone won't do it."
"Recently there has been medication available to reduce cholesterol. My doctor even gave it to me since mine is kind of high. Every time I hear what you like to eat Warren, it makes me wonder what your cholesterol level is. Or if you even worry about it. I think everyone here wants you to be with us for a long time. So have you considered taking this new medication or you're at a cholesterol level?","Yeah, I do know the number. I don't remember. My doctor tells me it's a little high. But if he says it's a little high, I mean it isn't that high. He always tries to push me into making a few changes in my life. But I've got a wonderful doctor. And I was lucky last year because I hadn't been in the same for about five years. And due to, those guys cost a lot of money. I mean, and due to purely an accident, a reaction to some other medicine I was given when I was out of the city, he got a hold of me and then he shaved me into having a physical. And it was extremely lucky because I had a polyp in the column that would have probably caused trouble within a couple of years. I would say that if you asked my doctor, he would want me to make a few changes. But he would also say that my life expectancy is probably a lot better than the average person of 70. And I have no stress whatsoever, zero. I mean, I get to do what I love to do every day. And I'm surrounded by people that are terrific. So that problem in life just doesn't exist for me. And I don't smoke or drink or bubble end it right there. And so if you are an underwriter for a life company, you would make me consider we better than average. You'd be better than average too. And I'm sure that it could change it slightly, perhaps, on the probability of, if I change my diet dramatically or something, but it's very unlikely to happen. Actually, when my mother got to be 80, the most important thing in life in terms of how long you live is how long your parents live. So I got her an exercise bike when she got to be 80. She put 40,000 miles on it. I told her to watch her diet, do all these things. And I mean, she lived to be 92. So she did her share. And I helped her do it by giving her the exercise bicycle. So I think that improved my odds at that point, Charlie. Yeah. I have a book recommendation, which will be very helpful to all shareholders that worry about Warren's health and longevity. And that's this book called Genome by Matt Ridgley, who was for years the science editor of the Economist magazine. And if Ridgley is right, Warren has a very long life expectancy. They're very interesting correlations between people who cause stress to others instead of suffering it themselves. And Warren has been in that position ever since I've known him. And the figures that Ridgley quotes are awesomely interesting that it is a fabulous book. Of course, I'm recommending a best seller, but they're selling it in the airport. It's called Genome. And you'll feel very good about Warren's future if you agree with the science of the book. Don't worry."
"Ben Graham and the model of value investing, like bring discussion back to that. And what's interesting and exceptional about you and Charlie and Ben Graham is the self-discipline, the incredible self-discipline. And if you look at the model and try to think how to present it, to teach others that self-discipline, I think you have to make a little tweak to it in two areas. And that's what I'd like you to comment on. One, intrinsic value. It's always discussed that you calculate intrinsic value. But in practice, I think you find a number that is guaranteed 99% likely to be less than intrinsic value. Classic example was in 2000 when you said you'd buy shares back at 45,000. You weren't saying that Berkshire Hathways and intrinsic value was 45,000. You were saying it was significantly more. And anyone who boarded for less than 45,000 is grateful to you. The other area is the hidden assumption in the model. And that is, it's assumed that once you find a value stock and you buy it, that the intrinsic value isn't going to go down. And that's a second part of the analysis that has to be part of the discipline. So even though you found a value stock, you still haven't done all the work. You have to analyze, is the intrinsic value going to go down? In particular, companies throw away intrinsic value. It's the most common management. It gives it away. That hasn't happened at Berkshire Hathways. Although I don't want to give an unqualified comment on that since I see you remodeling the offices. So we don't know how much intrinsic value has been thrown away there. So if you comment on the two things, do you calculate intrinsic value or a number that's absolutely positively under intrinsic value? That's the number you put in equation. And even when you find a stock selling for less than this lower bound of intrinsic value, do you still do the homework on the second part and analyze, will the intrinsic value go down in the future?","Yeah, I would feel somewhat better qualified to speak on self-discipline if I weighed about 20 pounds less. For the moment, we'll ignore that. The second part of your question relating to intrinsic value going down. Actually, if you compute intrinsic value as reflecting the discounted value of future cash flows, that should have built into it a calculation that allows for the fact that certain businesses are going to earn less in the future than now. It isn't that their intrinsic value goes down then because you should build it into your calculation right now. But as we've pointed out many times in the past, intrinsic value is terribly important and very fuzzy. And we do our best to work with in the kind of businesses where we think that we have the highest probabilities where our predictions are fairly highly probable nature. And that leaves out all kinds of companies. It's pretty good. We'll say it's something like a natural gas pipeline. I mean, the chances of big surprises in a pipeline should be relatively small. That doesn't mean they're zero, but they're relatively small. Now, let's assume that you had a gas pipeline, which some may have, where either the supply of gas is going to run down or where there are competitive pipelines that may be trying to take away your contracts that you wrote 10 years ago and expire in two years and you're going to have to cut prices. I would say the two years from now when you have to cut prices, the intrinsic value hasn't gone down from today. If you properly calculated today and build in the fact that profit margins in the future will be lower than day. We looked at a pipeline recently where we think they are going to be vulnerable to competitive price pressures because of alternate ways of getting gas to market through other pipelines. And the calculation is entirely different. The calculations is different. The results are different. In terms of that pipeline versus the pipeline that is the low cost way of delivering gas from one market to another. And we'll remain the low cost producer. But it isn't. If properly calculated, you build in the prediction of decline in future operating areas. You don't wait till you get there to anticipate it. And Charlie's famous for saying that all he wants to know is where he's going to die so we'll never go there. Well, that's part of predicting in business. I mean, there. I love the. I really have never seen an investment banker's book. I hope to see once a day and I hope I can survive the shock when I do see it where the earnings of the business being offered go down. Lots of businesses earnings go down and they're going to go down. And I get all this nonsense, you know, where they project it out for 10 years and it always goes up. It just isn't the real world. And you have to analyze businesses. Some businesses are going to be subjected to enormous competitive pressures that aren't extent today. And we made that mistake, for example, at Dexter shoe. I mean, we bought a business that was earning $40 million or so pre tax. And we assumed that the future would be as good as the past. And we couldn't have been more. I couldn't have been more wrong. So that was a case of projecting into the future conditions, which we're not going to exist in the future competitive conditions. That's part of, you know, that's part of business. And I will tell you that, you know, 20% of the fortune 500, but I don't know which 20% are going to be earning, you know, significantly less money, probably five years from now than they are today. And that's, that's what the game is all about, figuring out what those future cash flows are likely to be. And when you can't, when you feel you can't come up with reasonable estimates in that respect, you move on to the next one. Charlie. Yeah, we have this simple old fashioned discipline, which weren't like instead dead Williams waiting for a fat pitch. I know about Warren, but if you said to me, Charlie, you can go into the business of managing money the way other people do. Or your measured against indexes and you got consultant choosing consultants that are reviewing you to committee. I would just hate it. I would regard it as being put into shackles and shackles where the very system was preventing me from delivering value. Warren, how would you feel about that? Yeah, we would show it. We wouldn't know. We never did do it as a matter of fact. And one of the initial when we formed the partnership on May 5th, 1956, I passed out to the seven limited partners or something called the ground rules. And I said, here's what I can do. And here's what I can't do. And there's some things I don't know whether I can do or not. Maybe it was fairly short. But the idea of setting out to do something that you know you can't do. That can't be, you know, that's got to lead to problems. I mean, somebody tells me I have to high jump seven feet. And we can even move that down to four feet now. You know, between now and sundown or I'll be shot. You know, I was gotten by a bulletproof vest. Yeah, the general system for money management requires people to pretend that they can do something that they can't do and to pretend to like it when they really don't. And I think that's a terrible way to spend your life, but it's very well paid. "
"My question to you is this, in your annual report this year, the letter to the shareholders, you indicated that it was 50 years ago that you met Benjamin Graham and that he had a major impact in your life, especially in your investment success. Moreover, you've stated in the past that the intelligent investors by far are the greatest book ever written on investing. One of the central tenants in the book was that if you bought a group of stocks, say 10 or 20, that traded at two thirds or less than net current assets, that you would be assured of a margin of safety coupled with a satisfactory rate of return. Today, if you were to find 10 or 20 stocks that traded at two thirds of net current assets, would you be inclined to purchase those stocks for your own personal portfolio, not for Berkshire Halfaway? In the second question, since I've mentioned the book, I was wondering which books that you and Mr. Munger have been reading lately and would recommend.","On respect to your first question, you could probably, if you found a group like that, and you won't, I don't think, you'd probably do all right buying the group, but not because the businesses themselves worked out that well over time, but because there would probably a reason a lot of corporate activity in a group like that, either in terms of the management taking them private or takeovers or that sort of thing. But those subworking capital stocks are just almost impossible to find now. And if you got into a market where a lot of them existed, you'd probably find wonderful businesses selling a lot cheaper too, and our inclination would be to go with a cheap, wonderful business. I don't think you'll get in a high market or something close to it. I don't think you'll get a lot of subworking capital stocks anymore. There's just too much money around to promote deals before they really get to that point. But that was a technique. It was 50 years ago. And there's water sloths here. Still, water, are you here stand up if you're here? I met water 50 years ago when I met Ben Graham. I know, I know, water came out this year, but he already knows everything I've been talking about. So he may have left. But water actually is practiced in securities much closer to the original. He's run a partnership now for 46 years, I guess it is. And he's done it much more with the type of stocks that Ben was talking about in those days. And he has a record that is absolutely sensational, but far better than people who who get promoted and go on television shows and do all of that sort of thing. And he's done it in, you know, what I tend to call cigar butt companies. You know, you get one free puff, and that's about it, but they don't cost anything. And that was the subworking capital type situations. Walters had to extend that somewhat, but it's been a great, great record over a considerable, I mean, 46 years, it can's very considerable period of time. So I think, if you found that kind of a group and did it as a group operation and Ben always emphasized a group operation because when you're dealing with lousy companies, but you expect a certain number to be taken over and all that, you better have a group of them, whereas if you deal with wonderful companies, you only need a couple. But I think, I think if you see that period again, we'll be very active, but it won't be in those kind of securities. You try. Yeah, and there's another change. In the old days, if the business stop working, you can take the working capital and stick it in the shareholders pockets. And nowadays, as you can tell from all of restructuring charges, when things really go to hell on a bucket, somebody else owns a lot of the working capital. The whole culture has changed. If you have a little business in France and you get tired of it, this Markson Spencer has, the French say, what the hell do you mean trying to take your capital back from France? They're French workers in this business. And they don't care, but they don't say, it's your working capital. Take it back when the business no longer works for you. They say, it's our working capital. The whole culture has changed on that one, not completely, but a lot from Ben Graham's day. There are a lot of reasons why the investment, what the idiosyncrasies of one era, don't translate that perfectly into another. That list was published. I figured whether it published in the 1951 edition of the security analysis of the 49 edition of the television investor, but there were a list of companies there with a sacco loll, those martial wells, those Cleveland Worcesters Mills, or Sposter Wheeler, and all those companies were subworking capital companies, selling it three or four times earnings. And there was, if you bought a group of stocks like that, you were going to do well. But you certainly don't see that in companies with any of any size today. And I've seen a few lists of tech companies selling below cash, but but they're determined to use that cash and they may not be there in a year or two. It was a different breed of animals, or some extent, and Ben's list at that time."
"Looking for some advice. You might give the young professionals here. I could be classified as one of those helpers you describe in your annual report. In fact, most of my friends are helpers and some could be classified as super helpers. Most would love to step out and explore some of their more innovative ideas, innovative business models, strategies and things of that nature. But the risk of giving up a significant salary, health insurance, flights, all the ridiculous corporate perks and some of us young professionals earn. What advice would you have enough into pursuing those dreams? Charlie, what do you think?","Well, there's certainly a lot more helpers in the economy than they're used to be. And the ones that come here tend to be the very best of the helper class. So I don't think you should judge the helper class by those you meet here. We get the best of them. And as to what the young helpers ought to do so that they'll eventually be like Warren Buffett, I would say the best thing you can do is reduce your expectations. I think I've heard that before. Well, as I wrote about and I trying to tweak system a little bit, but it is an interesting business in that the activities of the professionals are self-neutralizing and if your wife is going to have a baby, you're going to be better off if you call it an obstetrician probably than if you do it yourself. You know, and if you're plumbing pipes or clogged or something, you're probably better off calling a plumber. Most professions have value added to them above what the laymen can accomplish themselves. In aggregate, the investment profession does not do that. So you have a huge group of people making, I put the estimate is $140 billion a year that in aggregate are and can only accomplish what somebody can do in 10 minutes a year by themselves. And it's hard to think of another business like that. I can't think of anything. No, but it's become a bigger and bigger business. And as I pointed out in the report, the main thing that's been learned is that the more you charge, at least temporarily, the more money you bring in, the more you charge, the more you're prestigious. And people think that a business school that charges 50,000 years to it, that's useful to get into a business like that. Sometimes I'm talking to the people at a business school and I ask them what a great, to name me a great business. And of course, one of the great businesses is a business school that's got to be better than one charge, just 10,000 a year, if two a week. So there's some of that that, well, there's a lot of it that's gotten into the investment field recently and you now have large, certain large portions of the investment management that are charging fees that in aggregate cannot work out for investors. Now, obviously some do, you know, but you cannot be paying people 20% or they get it in the good years and they fold their partnerships and start another one if they have a bad year and that sort of thing. You can't have that coming out of an economy that's only going to produce, we'll say, you know, 7% or something like that a year for investors and have people net better off. It isn't going to work. And then the question that you will have is how do I pick out the few exceptions and everyone that calls upon you to sell you this will tell you that they are an exception. And I am willing to bet a significant sum of money it will put it up to anybody who wants to name 10 partnerships that are $500 million or more of management and pit those after fees against the S&P over a 10-year period. It gets away from the survivorship bias and all that kind of thing. And it isn't going to happen. But a few will do well. They're bound to do well. And actually, I think I do not have to pick a few that will do well. I did it in the past when I wound up my own partnership in 1969. I told people to go to either Bill Ruin or Sandy Gotisman and that would have been a very good decision, whichever place they went. So if you know enough about the person, know enough how they've done in the past, know enough about their personality and honesty and all of the things. I think that occasionally you can make a very intelligent choice in picking an investment manager. But I don't think you can do it if you're setting running a pension fund in some state and you have 50 people calling on you. You're going to go with the ones that are the best sales people and not the ones that are the best investors. Charlie. Yeah, on that state pension fund investment subject, I think it ought to be a crime to entertain in any way a state pension fund official. And I think it ought to be a crime. If you are a state pension fund, it will accept the entertainment. It's not a pretty scene in a lot of investment management. In America now. And human nature being what it is and the amounts of money being what they are, I don't think much is going to be improved."
"I know you like to buy into success stories, but you don't like to buy high tech. And it seems to me, say, in the case of Microsoft, that 10 years from now, they'll be doing software development just like 10 years from now, Coke will be selling sugar water. And what I'm wondering is why you feel that way when it seems certain companies, high tech companies are predictable. And it also seems that in the early 90s, you mentioned you were going to buy a pharmaceutical company, which also seems like high tech to me. So that's my question.","I think we said that with the pharmaceutical companies, we wouldn't have known how to pick out which one. We would have thought the industry as a group would do well. From those levels of 1993, you cannot buy high tech companies at anything like at levels that are commensurate with the levels of the pharmaceutical companies we're selling at at 93. And getting to the first part of your question, I think it's much easier to predict the relative strength that that Coke will enjoy in the soft drink world than the amount of strength that Microsoft will possess in the software world. That's not the knock Microsoft at all. If I had to bet on anybody, it certainly bet on Microsoft, bet heavily if I had to bet, but I don't have to bet. And I don't see that world as clearly as I see the soft drink world. Now somebody that has a lot of familiarity with software may very well see it that way. And they're entitled to, if it's true they have superior knowledge and they act on it, they're entitled to make money from that superior knowledge. There's nothing wrong with that. I know I don't have that kind of knowledge. I simply think, and I do think that it's, that you have a general knowledge of business over decades that you would regard the industry therein as less predictable than the soft drink industry. Now it may also be that even though it's less predictable that there's a whole lot more money to be made so that if you're right that the payoff is much larger. But we are perfectly willing to trade away a big payoff for a certain payoff and that's the way we're put together. It does not knock the ability of other people to make those decisions. I mean I asked, first time I met Bill Gates in 1991, I said if you're going to go away on a desert island for 10 years, you had to put your stock in two companies in the high tech business which would they be. And he named two very good stocks. And if I bought both of them, we'd have made a lot more money than we made even buying Coca-Cola. But he also would have said at the same time that if he went away, whether by Coca-Cola, because he would have felt sure about that happening. It's different people understand different businesses. And the important thing is to know which ones you do understand and when you're operating with them within what I call your circle of components. And the software business is not within my circle of components and I don't think it's within Charlie. Charlie. Well, I certainly agree with that. I think there are interesting questions too about how far the whole field can go. Take cheddar plane travel below the speed of sound. It's been pretty static in terms of the technology for a long, long time. You know, the big Boeing airliner is much the same as it was 20 or 30 years ago. And I think a lot of these businesses are quite dependent on the technology continuing to gallup and do more and more for people. Take pharmaceuticals. If they never invented any more pharmaceuticals, it would be a terrible business. I don't know what happens once you get unlimited bandwidth into the house and way more options. Beyond a certain point, it strikes me that there might be a surfeit of anybody's interest in the field. I don't know where that point is, whether it's 20 years out or 30 years out, but it would affect me a little. The Dilly bar is more certain to be here in 10 years than any software application that we know. But that's maybe because we understand Dilly bars and not software. In the whole United States, which is by far the most prosperous country in the world, the whole United States, there are probably around 400 companies, 400 total companies that are earning $200 million a year after tax. Of those 400, you can name them. I mean, you start, if you say bank, you can say city group and chase and Wells Fargo, and you can name them 10 or 15 of them. If you name consumer goods, you can say Procter and Gamble and Coca-Cola and Gillette. You can name them all much. You can almost, of those 400, you can probably name 350. If five years from now, instead of 400 being on that list, there'll probably be 450 on the list, maybe 475. A lot of those will be companies that are earning between $150 and $200 million now. So there'll probably be 20, some number like 20 that call it come from nowhere. If you look at the number of companies that are selling today at a price which implies $200 million or more of earnings right today, you will find dozens and dozens in the high tech arena. And, you know, a very large percentage of those companies are not going to fulfill people's expectations. I can't tell you which ones. But I know there won't be dozens and dozens and dozens of those companies making a couple of $100 million a year. And I know they are now selling at prices that require them to be making that much money or more. It just doesn't happen that often. You know, biotech was all the rage some years back. How many of those companies are making a couple of $100 million a year? Just doesn't happen. It's not that easy to make lots of money in the business and a capitalistic society. The people that are looking at what you're doing every day and trying to figure out a way to do it better and to, you know, under price you or bring out a better product or whatever it may be and a few companies make it. But here in the United States, after all of these decades and decades and decades of wonderful economic development, we've got about 400 companies that have hit the level that would be required of a company that would have a market cap of $3 billion. And some companies are getting $3 billion a market cap today. They come out first. There's some, we want to think about the math of all this."
"I've been an old and I'm from Minneapolis and first I just wanted to thank you for providing your past annual letters to the shareholders and Mr. Munger for providing your speech to the graduate students at USC a couple years ago. I'm drawing a lot of insights from that not only in investing but also in my day job as a business manager and I'm wondering if you could help me with my summer reading list and provide some additional suggestions for reading in the fields of investing and management other than the standards of Graham, Fisher, and so forth.","I have recently read a new book twice which I very seldom do and that book is Guns, Germs, and Steel by Jared Diamond and it's a marvelous book and the way the guys mind works would be useful in business. He's got a mind that is always asking why, why, why, why, and he's very good at coming up with answers. I would say it's the best work of its kind I have ever read. I read a little easier book recently. I'm not even sure of the title. I don't pay much attention to titles when I get into the books but it's something to the effect of the court of a Einstein. I mean it's all, it's a lot of his commentary over the years and it's a great reading. The Firm Out Thereum was the book, that was an exact title either but it's the story of the discovery of the answer. I know that's a very interesting book. One of our shareholders from Sweden gave me a copy of that one. I was in New York and I've enjoyed it."
"In meeting Ajit Jain, I've been very impressed over the years. I think I even met his parents once, they came from India. Please comment on your deepest impressions of his personality and managerial skills and also how you go about exactly keeping somebody with such fine skills within the fold.","He might go to Walt Disney someday and pull down 200 million. Well, he gets offered 200 million. We may not have to compete too vigorously at that level. We basically try to run a business so that we surely have two jobs. We have to identify and keep good managers interested after we figured out who they are. And that often is a little different here because I would say a majority of our managers are financially independent so that they don't go to work because they are worried about putting kids through school or putting food on the table. So they have to have some reason to go to work aside from that. They have to be treated fairly in terms of compensation but they also have to figure it is better than playing golf every day or whatever it may be. So that's one of the jobs we have. We basically attack that the same way. We look at what they do the same way we look at what we do. We've got a wonderful group of shareholders before. I ran this ad a partnership. I had a great group of partners. I like to be left alone to do what I did. I like to be judged on the scorecard at the end of the year rather than on every stroke. And not second guest in a way that was inappropriate. I like to have people who understood the environment in which I was operating. So the important thing we do with managers generally is to find the 400 hitters and then not tell them how to swing as I put them in the report. The second thing we do is allocate capital. And aside from that we play bridge. Pretty much what happens at Berkshire. So with any of the managers you might name here, we try to make it interesting and fun for them to run their business. We try to have a compensation arrangement that's appropriate for the kind of business there. And we have no company-wide compensation plan. We wouldn't dream of having some compensation expert consultant come in and screw it up. We try to, some businesses require a lot of capital that we're in, some require no capital. Some are easy businesses where good profit margins are essential to come by. But we're really paying for the extra beyond that. Some are very tough businesses to make money. And it would be crazy to have some huge framework that we try to place everybody in that we're one size would fit all. People generally are compensated relating in some matter that relates to how their business does as opposed to, there's no reason to pay anybody based on how Berkshire does. Because no one has responsibility for Berkshire except for Charlie and me. And we try to make them responsible for their own units compensated based on how those units do. We try to understand the businesses they're in. So we know what the difference between a good performance and a bad performance. And that's about, that's how we work with people. We've had terrific luck over the years in retaining the managers that we wanted to retain. And it's, I think largely it's because particularly they sell us a business that to a great extent the next day they're running it just as they were the day before. And they're having as much fun running their businesses I have running Berkshire. Charlie? Well, I've got nothing to add but I think it's that concept of treating the other fellow. Although you'd like to be treated if the roles were reversed. It's so simple when you stop to think about it but it's a rare evening when I cheat and Warren aren't talking once on the phone. It's more than a business relationship at least seems that way to me. Yeah, well it is. And by the way, we like our business, our relationships to be more than a business relationship. Charlie and I are very far. We basically, it's a luxury but it's a luxury that we should try to nurture. We get to work with people we like. And it makes life a lot simpler. It probably helps on that goal of being the oldest living American too. Yeah, and we tend to like people we admire. Yeah, who do we like that we don't admire Charlie? Shark naming names. And these people have names."
"My question deals with price deflation. Could you please explain how technological advances and productivity increases are affecting our non-fixed income holdings, especially insurance?","Well I think that to the extent your question implies the question, how does technology affected the inflation rate, the advances in technology? I've heard Alan Greenspan make a lot of interesting comments on that. I think it baffles him to some extent but he also recognizes that there's some important very hard to measure factor that has caused inflation not to behave in the way that most people expected with this drop of employment, general prosperity, etc. And I think he attributes it in some part but again immeasurable to what has been happening in the information technology world. Obviously low inflation is good for fixed income investments but that's been reflected to a significant degree in a long-term rate that's at about 5.5% now. You know it does look at the moment like an almost perfect world in terms of the macroeconomic factors and probably as a reason why people are enthused about stocks and it's a good reason in terms of the price inflation. It's a good reason why bonds have behaved well over the last really since 1982. I don't know the answer to what it means for the future. I have to believe that it's very good for this country to have the lead in information technology that it does on the rest of the world. It seems to me as a non expert that we are so far ahead of the rest of the world in terms of having the leading companies and the money flowing into it, the brain power flowing into it that is hard to think of who's in second place and I think that's helped this country in some very significant way but I don't know how to measure it. Charlie? Well, I would say that Berkshire's business is on average, are left likely to be obsolete by no technology than businesses generally. You know steel-told work shoes. I do not anticipate a significant change in the technology. I think we have more of the stuff that's sort of basic and hard to obsolete than many other corporations do. As we mentioned in the report, we think all of that activity is very beneficial from a societal standpoint. Our own emphasis is on trying to find businesses that are predictable in a general way as to where they'll be in 10 or 15 or 20 years. That means we're looking for businesses that in general are not going to be susceptible to very much change. We view change as more of a threat into the investment process than an opportunity. That's quite contrary to the way most people are looking at equities now but we do not get enthused about, with a few exceptions, we do not get enthused about change as a way to make a lot of money. We try to look at, we're looking for the absence of change to protect ways that are already making a lot of money and allow them to make even more in the future. So we look at, we look at change as a threat and whenever we look at a business and we see lots of change coming nine times out of 10, we're going to pass on that and when we see something we think is very likely to look the same ten years from now, we feel much more confident about predicting it. Coca-Cola is still selling a product that is very, very similar to one that was sold 110 plus years ago and the fundamentals of distribution and talking to the consumer and all of that sort of thing. We haven't changed at all. Your analysis of Coca-Cola 50 years ago, pretty well-served in an analysis now, we're more comfortable in those kind of businesses. It means we miss a lot of very big winners but we would not affect those out anyway. It doesn't mean also that we have very few big losers and that's quite helpful over time. Yeah, the peanut brevils, that's very little technological change too. They better not change it. We like it just the way it is."
"Thanks to high energy prices, other factors Russia has been one of the best performing markets recently. The country's financial condition has stabilized since 1990s, a fledging middle class, taking shape as personal incomes grow, and there are also risks, political, legal, risk to minority investors. But there are also potentially great values among secondary companies there. I was wondering what needs to happen in Russia for you to invest there, whether for Berkshire or for yourself, and what kind of companies would interest you there?","That sounds like you may own a few Russian stocks yourself. I would, as you know, in 1998, what Walter Risenstein saw in the conference, don't default in 1998. In Russia at least he was proven wrong. And Charlie and I were inherited a business that saw a man that was in the oil business. Big time out in the Siberia. And there came a time when we got to dig the holes. We sent the money in. And as long as we were drilling, we were welcome. And then we wanted to start taking the oil out after our money had been used to drill the holes. They weren't quite as friendly. In fact, it was really kind of extreme what took place with us. So having had a few experiences like that, it might take us quite a while before we wanted to sink a lot of money into Russia. It may be different now, but I don't think it's any certainty. I had breakfast in Sun Valley three years ago. This July, I believe it was, with Kordakowski. And we had a translator there. And he talked to me about whether he was thinking about listing Yukos. I'm the New York Stock Exchange, but he said, you know, it would require registering with the FCC or something. And he wasn't sure whether that would, that was, be too dangerous. Well, I don't think he listed there, but he went back to Russian. He's been in jail now for, well, just about ever since. And Yukos was put into bankruptcy with tax claims. I don't, I just think it's a little hard to develop a lot of confidence that the world has changed permanently there in terms of its attitude toward capital and particularly toward outside capital. Charlie, what are your thoughts? Yeah, the situation reminds me a little of polypaterlium, which years ago was much traded in Los Angeles. And the saying always was, if they ever do find any oil, that old man will steal it. I'm afraid we have some of that problem in many of the countries in which we're seeking for oil. Well, didn't we really have the livelihood of our guys, threatened over there? Charlie one. I think we sent in some people to get out the equipment. And they said if they sent in the people to get out the equipment, not only would the equipment not get out, but the people wouldn't get out. So we understood the situation. That was not that long ago."
